cat > frontend/coinryze_history.csv <<'EOF'
issue_id,timestamp,number,color,size,odd_even
202510030765,2025-10-03 10:45:00,1,Green,Small,Odd
202510030766,2025-10-03 10:46:00,0,Red-purple,Small,Odd
202510030767,2025-10-03 10:47:00,1,Green,Small,Odd
202510030768,2025-10-03 10:48:00,2,Red,Small,Even
202510030769,2025-10-03 10:49:00,3,Green,Small,Odd
202510030770,2025-10-03 10:50:00,3,Green,Small,Odd
202510030771,2025-10-03 10:51:00,6,Red,Big,Even
202510030772,2025-10-03 10:52:00,6,Red,Big,Even
202510030773,2025-10-03 10:53:00,7,Green,Big,Odd
202510030774,2025-10-03 10:54:00,9,Green,Big,Odd
EOF
